name,qtype,status,answer_count,class
dinbil.se,A,NOERROR,1,POSITIVE
dinbil.se,AAAA,NOERROR,0,NODATA
dinbil.se,MX,NOERROR,1,POSITIVE
dinbil.se,TXT,ERROR,0,OTHER
dinbil.se,NS,NOERROR,2,POSITIVE
dinbil.se,SOA,NOERROR,1,POSITIVE
dinbil.se,CAA,NOERROR,0,NODATA
dinbil.se,HTTPS,NXDOMAIN,0,NXDOMAIN
perspektivrapport.se,A,NOERROR,2,POSITIVE
perspektivrapport.se,AAAA,NOERROR,2,POSITIVE
perspektivrapport.se,MX,NOERROR,0,NODATA
perspektivrapport.se,TXT,NOERROR,0,NODATA
perspektivrapport.se,NS,NOERROR,2,POSITIVE
perspektivrapport.se,SOA,NOERROR,1,POSITIVE
perspektivrapport.se,CAA,NOERROR,0,NODATA
perspektivrapport.se,HTTPS,NXDOMAIN,0,NXDOMAIN
pinterest.se,A,NOERROR,4,POSITIVE
pinterest.se,AAAA,NOERROR,0,NODATA
pinterest.se,MX,NOERROR,1,POSITIVE
pinterest.se,TXT,NOERROR,5,POSITIVE
pinterest.se,NS,NOERROR,4,POSITIVE
pinterest.se,SOA,NOERROR,1,POSITIVE
pinterest.se,CAA,NOERROR,1,POSITIVE
pinterest.se,HTTPS,NXDOMAIN,0,NXDOMAIN
ics-services.se,A,NOERROR,0,NODATA
ics-services.se,AAAA,NOERROR,0,NODATA
ics-services.se,MX,NOERROR,0,NODATA
ics-services.se,TXT,NOERROR,0,NODATA
ics-services.se,NS,NOERROR,3,POSITIVE
ics-services.se,SOA,NOERROR,1,POSITIVE
ics-services.se,CAA,NOERROR,0,NODATA
ics-services.se,HTTPS,NXDOMAIN,0,NXDOMAIN
universeum.se,A,NOERROR,3,POSITIVE
universeum.se,AAAA,NOERROR,3,POSITIVE
universeum.se,MX,NOERROR,5,POSITIVE
universeum.se,TXT,ERROR,0,OTHER
universeum.se,NS,NOERROR,2,POSITIVE
universeum.se,SOA,NOERROR,1,POSITIVE
universeum.se,CAA,NOERROR,0,NODATA
universeum.se,HTTPS,NXDOMAIN,0,NXDOMAIN
nexttechpath.se,A,NOERROR,2,POSITIVE
nexttechpath.se,AAAA,NOERROR,2,POSITIVE
nexttechpath.se,MX,NOERROR,0,NODATA
nexttechpath.se,TXT,NOERROR,0,NODATA
nexttechpath.se,NS,NOERROR,2,POSITIVE
nexttechpath.se,SOA,NOERROR,1,POSITIVE
nexttechpath.se,CAA,NOERROR,0,NODATA
nexttechpath.se,HTTPS,NXDOMAIN,0,NXDOMAIN
sokrabatt.se,A,NOERROR,2,POSITIVE
sokrabatt.se,AAAA,NOERROR,2,POSITIVE
sokrabatt.se,MX,NOERROR,1,POSITIVE
sokrabatt.se,TXT,NOERROR,1,POSITIVE
sokrabatt.se,NS,NOERROR,2,POSITIVE
sokrabatt.se,SOA,NOERROR,1,POSITIVE
sokrabatt.se,CAA,NOERROR,0,NODATA
sokrabatt.se,HTTPS,NXDOMAIN,0,NXDOMAIN
aig.se,A,NOERROR,2,POSITIVE
aig.se,AAAA,NOERROR,0,NODATA
aig.se,MX,NOERROR,0,NODATA
aig.se,TXT,NOERROR,7,POSITIVE
aig.se,NS,NOERROR,3,POSITIVE
aig.se,SOA,NOERROR,1,POSITIVE
aig.se,CAA,NOERROR,0,NODATA
aig.se,HTTPS,NXDOMAIN,0,NXDOMAIN
svanen.se,A,NOERROR,1,POSITIVE
svanen.se,AAAA,NOERROR,0,NODATA
svanen.se,MX,NOERROR,4,POSITIVE
svanen.se,TXT,ERROR,0,OTHER
svanen.se,NS,NOERROR,3,POSITIVE
svanen.se,SOA,NOERROR,1,POSITIVE
svanen.se,CAA,NOERROR,0,NODATA
svanen.se,HTTPS,NXDOMAIN,0,NXDOMAIN
wayoutwest.se,A,NOERROR,1,POSITIVE
wayoutwest.se,AAAA,NOERROR,0,NODATA
wayoutwest.se,MX,NOERROR,7,POSITIVE
wayoutwest.se,TXT,NOERROR,0,NODATA
wayoutwest.se,NS,NOERROR,2,POSITIVE
wayoutwest.se,SOA,NOERROR,1,POSITIVE
wayoutwest.se,CAA,NOERROR,0,NODATA
wayoutwest.se,HTTPS,NXDOMAIN,0,NXDOMAIN
infracom.se,A,NOERROR,1,POSITIVE
infracom.se,AAAA,NOERROR,0,NODATA
infracom.se,MX,NOERROR,1,POSITIVE
infracom.se,TXT,ERROR,0,OTHER
infracom.se,NS,NOERROR,3,POSITIVE
infracom.se,SOA,NOERROR,1,POSITIVE
infracom.se,CAA,NOERROR,0,NODATA
infracom.se,HTTPS,NXDOMAIN,0,NXDOMAIN
astrosweden.se,A,NOERROR,1,POSITIVE
astrosweden.se,AAAA,NOERROR,1,POSITIVE
astrosweden.se,MX,NOERROR,1,POSITIVE
astrosweden.se,TXT,ERROR,0,OTHER
astrosweden.se,NS,NOERROR,2,POSITIVE
astrosweden.se,SOA,NOERROR,1,POSITIVE
astrosweden.se,CAA,NOERROR,0,NODATA
astrosweden.se,HTTPS,NXDOMAIN,0,NXDOMAIN
vardagskommentar.se,A,NOERROR,2,POSITIVE
vardagskommentar.se,AAAA,NOERROR,2,POSITIVE
vardagskommentar.se,MX,NOERROR,0,NODATA
vardagskommentar.se,TXT,NOERROR,0,NODATA
vardagskommentar.se,NS,NOERROR,2,POSITIVE
vardagskommentar.se,SOA,NOERROR,1,POSITIVE
vardagskommentar.se,CAA,NOERROR,0,NODATA
vardagskommentar.se,HTTPS,NXDOMAIN,0,NXDOMAIN
ictservices.se,A,NOERROR,0,NODATA
ictservices.se,AAAA,NOERROR,0,NODATA
ictservices.se,MX,NOERROR,2,POSITIVE
ictservices.se,TXT,NOERROR,1,POSITIVE
ictservices.se,NS,NOERROR,2,POSITIVE
ictservices.se,SOA,NOERROR,1,POSITIVE
ictservices.se,CAA,NOERROR,0,NODATA
ictservices.se,HTTPS,NXDOMAIN,0,NXDOMAIN
ixanon.se,A,NOERROR,1,POSITIVE
ixanon.se,AAAA,NOERROR,0,NODATA
ixanon.se,MX,NOERROR,2,POSITIVE
ixanon.se,TXT,NOERROR,1,POSITIVE
ixanon.se,NS,NOERROR,2,POSITIVE
ixanon.se,SOA,NOERROR,1,POSITIVE
ixanon.se,CAA,NOERROR,0,NODATA
