level,sha3,depth_log2,n_leaves,blowup,r,ldt,prove_ms,verify_ms,proof_kib,n_trace
L1,sha3-256,2,4,4,54,fri,842,1.29,395.9,256
L1,sha3-256,2,4,4,54,stir,753,0.39,109.2,256
L1,sha3-256,3,8,4,54,fri,1721,1.38,431.0,512
L1,sha3-256,3,8,4,54,stir,1661,0.36,111.5,512
L1,sha3-256,4,16,4,54,fri,1696,1.40,431.0,512
L1,sha3-256,4,16,4,54,stir,1709,0.37,111.5,512
L1,sha3-256,5,32,4,54,fri,1744,1.51,431.0,512
L1,sha3-256,5,32,4,54,stir,1728,0.38,111.5,512
L1,sha3-256,6,64,4,54,fri,3732,1.59,468.2,1024
L1,sha3-256,6,64,4,54,stir,3683,0.42,113.7,1024
L1,sha3-256,7,128,4,54,fri,3796,1.62,468.2,1024
L1,sha3-256,7,128,4,54,stir,3802,0.41,113.7,1024
L3,sha3-384,2,4,4,79,fri,771,2.52,772.7,256
L3,sha3-384,2,4,4,79,stir,777,0.70,228.1,256
L3,sha3-384,3,8,4,79,fri,1684,2.91,838.8,512
L3,sha3-384,3,8,4,79,stir,1674,0.74,232.6,512
L3,sha3-384,4,16,4,79,fri,1719,2.91,838.8,512
L3,sha3-384,4,16,4,79,stir,1712,0.76,232.6,512
L3,sha3-384,5,32,4,79,fri,1749,2.89,838.8,512
L3,sha3-384,5,32,4,79,stir,1758,0.77,232.6,512
L3,sha3-384,6,64,4,79,fri,3743,3.29,909.3,1024
L3,sha3-384,6,64,4,79,stir,3737,0.81,237.1,1024
L3,sha3-384,7,128,4,79,fri,3810,3.31,909.3,1024
L3,sha3-384,7,128,4,79,stir,3809,0.82,237.1,1024
